Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax,Rpeak,Efficiency (%),Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
379,,40,379,,"BladeCenter HS22 Cluster (WM), Xeon E5649 6C 2.530GHz, Gigabit Ethernet",Banking (M),IBM,United States,2012,Industry,15840,0,89259,160301,55.68,0,0,404.02,220.93,Cluster,Xeon E5649 6C 2.530GHz,Intel Nehalem,2530,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
380,,40,380,,"xSeries x3650M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet",Banking (M),IBM,United States,2012,Industry,15840,0,89259,160301,55.68,0,0,480.48,185.77,Cluster,Xeon E5649 6C 2.530GHz,Intel Nehalem,2530,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
381,,40,381,,"Cluster Platform 4000 BL465c G7, Opteron 6176 12C 2.300GHz, Gigabit Ethernet",Semiconductor Company (M),Hewlett-Packard,United States,2012,Industry,19200,0,89132.5,176640,50.46,0,0,,,Cluster,Opteron 6176 12C 2.300GHz,AMD x86_64,2300,Linux,Linux,None,12,"Opteron 6100-series ""Magny-Cours"" ",Cluster Platform 4000 BL465c G7,HP Cluster Platform 4000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
382,237,36,208,,"BladeCenter HS22 Cluster, Xeon E5540 4C 2.53 GHz, Gigabit Ethernet",Financial Institution (P),IBM,United Kingdom,2010,Industry,15744,0,88718,159329.28,55.68,0,0,497.76,178.23,Cluster,Xeon E5540 4C 2.530GHz,Intel Nehalem,2530,Linux,Linux,None,4,Xeon 5500-series (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
383,239,37,102,,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, Infiniband",Automotive,IBM,United States,2011,Industry,8568,0,88620,100416.96,88.25,0,0,240.41,368.62,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Infiniband,Infiniband,North America,Americas
384,238,37,101,,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, Infiniband",Automotive,IBM,United States,2011,Industry,8568,0,88620,100416.96,88.25,0,0,240.41,368.62,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Infiniband,Infiniband,North America,Americas
385,240,34,55,,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, Infiniband",Manufacturing Company,Hewlett-Packard,France,2009,Industry,8576,0,88550,100510.7,88.1,0,0,,,Cluster,Xeon X5570 4C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,4,Xeon 5500-series (Nehalem-EP),Cluster Platform 3000 BL460c G6,HP Cluster Platform 3000BL,Infiniband,Infinband DDR 4x,Western Europe,Europe
386,,40,386,,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",IT Services Provider (B),Hewlett-Packard,India,2012,Industry,8080,0,88542.8,168064,52.68,0,0,,,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,South-central Asia,Asia
387,242,39,242,,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.60GHz, Gigabit Ethernet",IT Provider (P),Hewlett-Packard,United States,2012,Industry,8064,0,88373,167731,52.69,0,0,,,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
388,241,39,241,,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.60GHz, Gigabit Ethernet",IT Provider (P),Hewlett-Packard,United States,2012,Industry,8064,0,88373,167731,52.69,0,0,,,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
389,,40,389,,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",University of Miami,IBM,United States,2012,Academic,5056,0,87961,105165,83.64,0,0,100.49,875.32,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
390,243,37,104,,"Cluster Platform 3000 DL165, Opteron 2.1 GHz 12C, GigE",Financial Services Company (G),Hewlett-Packard,United States,2011,Industry,20784,0,87542.8,174585.6,50.14,0,0,,,Cluster,Opteron 6172 12C 2.100GHz,AMD x86_64,2100,Linux,Linux,None,12,"Opteron 6100-series ""Magny-Cours"" ",HP DL165 Cluster,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
391,244,35,63,Layon,Bull bullx super-node S6010/S6030,Bull,Bull SA,France,2010,Vendor,11520,0,87470,104602,83.62,1643136,0,,,Cluster,Xeon X7560 8C 2.260GHz,Intel Nehalem,2260,Linux,Linux,None,8,Xeon 5500-series (Nehalem-EX),bullx super-node S6010/S6030,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
392,245,36,87,Curie fat nodes,"Bullx S6010 Cluster,  Xeon 2.26 Ghz 8-core, QDR Infiniband",CEA/TGCC-GENCI,Bull SA,France,2010,Research,11520,0,87470,104417,83.77,1643136,0,108.8,803.95,Cluster,Xeon X7560 8C 2.260GHz,Intel Nehalem,2260,Linux,Linux,None,8,Xeon 5500-series (Nehalem-EX),bullx super-node S6010,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
393,246,37,129,,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.66 GHz, Infiniband",Energy Company (A),IBM,Italy,2011,Industry,10224,0,87438.39,109028.74,80.2,0,0,335.48,260.64,Cluster,Xeon X5550 4C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,4,Xeon 5500-series (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Infiniband,Infiniband,Southern Europe,Europe
394,247,36,213,,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",Telecommunication Company,IBM,China,2010,Industry,15504,0,87365,156900.48,55.68,0,0,490.18,178.23,Cluster,Xeon E5540 4C 2.530GHz,Intel Nehalem,2530,Linux,Linux,None,4,Xeon 5500-series (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
395,248,36,88,,"HP Pod BL2x220, X5660 2.8 Ghz, Infiniband QDR",iVEC,Hewlett-Packard,Australia,2010,Academic,9600,0,87198.7,107520,81.1,0,0,,,Cluster,Xeon X5660 6C 2.800GHz,Intel Nehalem,2800,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL 2x220,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,Australia and New Zealand,Oceania
396,249,38,152,,"HP DL160 Cluster G6, Xeon E5640 4C 2.67 GHz, Gigabit Ethernet",Web Content Provider,Hewlett-Packard,United States,2011,Industry,16020,0,87095,170453,51.1,0,0,,,Cluster,Xeon E5640 4C 2.670GHz,Intel Nehalem,2670,Linux,Linux,None,4,Xeon 5600-series (Westmere-EP),HP DL160 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
397,250,39,250,,"Cluster Platform 4000 BL685c G7, Opteron 6276 16C 2.30GHz, Gigabit Ethernet",Logistic Services,Hewlett-Packard,United States,2012,Industry,18688,0,86931.73,171930,50.56,0,0,,,Cluster,Opteron 6276 16C 2.300GHz,AMD x86_64,2300,Linux,Linux,None,16,"Opteron 6200 Series ""Interlagos""",Cluster Platform 4000 BL685c G7,HP Cluster Platform 4000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
398,251,39,251,,"Cluster Platform 4000 BL685c G7, Opteron 6140 8C 2.60GHz, Gigabit Ethernet",Logistic Services,Hewlett-Packard,China,2012,Industry,16288,0,86463.4,169395,51.04,0,0,,,Cluster,Opteron 6140 8C 2.600GHz,AMD x86_64,2600,Linux,Linux,None,8,"Opteron 6100-series ""Magny-Cours"" ",Cluster Platform 4000 BL685c G7,HP Cluster Platform 4000BL,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
399,252,39,252,rzuseq,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",DOE/NNSA/LLNL,IBM,United States,2012,Research,8192,0,86346,104858,82.35,434175,0,41.09,2101.39,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
400,253,39,253,,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",IBM Thomas J. Watson Research Center,IBM,United States,2012,Research,8192,0,86346,104858,82.35,434175,0,41.09,2101.39,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
401,,40,401,BGQdev,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",Southern Ontario Smart Computing Innovation Consortium/University of Toronto,IBM,Canada,2012,Academic,8192,0,86346,104858,82.35,434175,0,41.09,2101.39,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
402,,40,402,BlueRidge,"Appro Xtreme-X Supercomputer, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Virginia Tech,Appro International,United States,2012,Academic,5088,0,86260,105830,81.51,1483872,741936,127.2,678.14,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Appro Xtreme-X Supercomputer,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
403,254,39,254,,"Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06GHz, Gigabit Ethernet",Web Company (C),Hewlett-Packard,China,2012,Industry,13914,0,86189.3,170307,50.61,0,0,,,Cluster,Xeon X5675 6C 3.060GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
404,255,38,153,,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",Financial Institution,Hewlett-Packard,United States,2011,Industry,15816,0,86054,168282.24,51.14,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
405,256,36,90,CHEOPS,"Bullx Supernode/Blade  Xeon X5550/X5650 2.66 Ghz, Infiniband","University of Cologne, Regional Computing Centre",Bull SA,Germany,2010,Academic,9376,0,85900,100171,85.75,1446480,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Bullx Blade/Supernode,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
406,262,38,156,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843,224483,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
407,263,38,157,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843,224483,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
408,264,38,158,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843,224483,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
409,265,38,159,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843,224483,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
410,266,38,160,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843,224483,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
411,267,38,161,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843,224483,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
412,268,38,162,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843,224483,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
413,257,38,163,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843,224483,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
414,258,38,164,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843,224483,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
415,259,38,165,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843,224483,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
416,260,38,166,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843,224483,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
417,261,38,155,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843,224483,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
418,,40,418,,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Automotive Company,IBM,United States,2012,Industry,4416,0,85547,91853,93.13,0,0,91.72,932.7,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
419,269,39,269,,"Cluster Platform SL170s, Xeon X5650 6C 2.66GHz, Infiniband QDR",Geoscience (P),Hewlett-Packard,United States,2012,Industry,10368,0,85007.48,110316,77.06,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL170s,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,North America,Americas
420,270,39,270,,"PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","Numazu Complex, Fujitsu Limited",Fujitsu,Japan,2012,Vendor,6144,0,84400,90833,92.92,1655808,0,,,Cluster,SPARC64 IXfx 16C 1.848GHz,Sparc,1848,Linux,Linux,None,16,SPARC64 IXfx,PRIMEHPC FX10,Fujitsu Cluster,Custom Interconnect,Tofu interconnect,Eastern Asia,Asia
421,271,39,271,,"Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06GHz, Gigabit Ethernet",Arrow Enterprise Computing Solutions,Hewlett-Packard,United States,2012,Industry,13602,0,84358.7,166488,50.67,0,0,,,Cluster,Xeon X5675 6C 3.060GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
422,272,38,167,,"Cluster Platform 4000 BL685c G7, Opteron 6136 8C 2.40 GHz, Gigabit Ethernet",Web Company (C),Hewlett-Packard,China,2011,Industry,17280,0,84344,165888,50.84,0,0,,,Cluster,Opteron 6136 8C 2.400GHz,AMD x86_64,2400,Linux,Linux,None,8,"Opteron 6100-series ""Magny-Cours"" ",Cluster Platform 4000 BL685c G7,HP Cluster Platform 4000BL,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
423,,40,423,,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",IT Services Provider ,Hewlett-Packard,Russia,2012,Industry,7648,0,83808,159078,52.68,0,0,,,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe
424,273,39,273,,"Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06GHz, Gigabit Ethernet",IT Service Provider,Hewlett-Packard,United States,2012,Industry,13488,0,83683,165093,50.69,0,0,,,Cluster,Xeon X5675 6C 3.060GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
425,274,39,274,,"Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06GHz, Gigabit Ethernet",IT Service Provider,Hewlett-Packard,United States,2012,Industry,13488,0,83683,165093,50.69,0,0,,,Cluster,Xeon X5675 6C 3.060GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
426,275,39,275,,"Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06GHz, Gigabit Ethernet",IT Service Provider,Hewlett-Packard,United States,2012,Industry,13488,0,83683,165093,50.69,0,0,,,Cluster,Xeon X5675 6C 3.060GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
427,276,39,276,,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet",Logistic Services (E),Hewlett-Packard,United States,2012,Industry,15342,0,83611,163239,51.22,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
428,277,39,277,,"Cluster Platform SL390s G7, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2090",California institute of Technology,Hewlett-Packard,United States,2012,Academic,6660,2880,83158,159919,52,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,North America,Americas
429,,40,429,Intel IT SCTO HPC A,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",Intel Corporation SCTO HPC,Hewlett-Packard,United States,2012,Industry,7360,0,83101.9,153088,54.28,2352000,1176000,,,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
430,278,34,57,Graph,"Appro Xtreme-X3 Opteron 2.0GHz, Infiniband DDR",Lawrence Livermore National Laboratory,Appro International,United States,2009,Research,13440,0,83080,107500,77.28,1370880,685440,700,118.69,Cluster,Opteron Quad Core 4C 2.000GHz,AMD x86_64,2000,Linux,Linux,None,4,Opteron Quad Core,Appro Xtreme-X3,Appro XtremeServer,Infiniband,Infiniband DDR,North America,Americas
431,279,37,111,Typhoon,"Appro Xtreme Opteron 2 GHz, Infiniband QDR",Los Alamos National Laboratory,Appro International,United States,2011,Research,13312,0,83050,106500,77.98,873600,436800,,,Cluster,Opteron 6128 8C 2.000GHz,AMD x86_64,2000,Linux,Linux,None,8,"Opteron 6100-series ""Magny-Cours"" ",Appro XtremeServers,Appro XtremeServer,Infiniband,Infiniband QDR,North America,Americas
432,280,39,280,,"Cluster Platform SL230s/SL250s, Xeon E5-2670 8C 2.60GHz, Infiniband QDR",National Institute of Genetics,Hewlett-Packard,Japan,2012,Research,5616,0,82900,116813,70.97,1503761,0,,,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform SL230s/SL250s,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,Eastern Asia,Asia
433,,40,433,Nimbus,"Appro GreenBlade 512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Procter and Gamble,Appro International,United States,2012,Industry,5120,0,82690,106496,77.65,967680,0,,,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Appro GreenBlade 512X,Appro Cluster,Infiniband,Infiniband QDR,North America,Americas
434,281,39,281,,"HP DL160 Cluster G6, Xeon E5645 6C 2.40GHz, Gigabit Ethernet",Web Content Provider,Hewlett-Packard,United States,2012,Industry,16860,0,82430,161856,50.93,0,0,,,Cluster,Xeon E5645 6C 2.400GHz,Intel Nehalem,2400,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),HP DL160 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
435,282,39,282,,"HP DL160 Cluster G6, Xeon E5645 6C 2.40GHz, Gigabit Ethernet",Web Content Provider,Hewlett-Packard,United States,2012,Industry,16860,0,82430,161856,50.93,0,0,,,Cluster,Xeon E5645 6C 2.400GHz,Intel Nehalem,2400,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),HP DL160 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
436,283,39,283,,"HP DL160 Cluster G6, Xeon E5645 6C 2.40GHz, Gigabit Ethernet",Web Content Provider,Hewlett-Packard,United States,2012,Industry,16860,0,82430,161856,50.93,0,0,,,Cluster,Xeon E5645 6C 2.400GHz,Intel Nehalem,2400,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),HP DL160 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
437,284,29,5,New York Blue,eServer Blue Gene Solution,"Stony Brook/BNL, New York Center for Computational Sciences",IBM,United States,2007,Research,36864,0,82161,103219.2,79.6,0,0,403,203.87,MPP,PowerPC 440 2C 700MHz,Power,700,CNK/SLES 9,Mixed,None,2,PowerPC 440,BlueGene/L,IBM BlueGene,Proprietary Network,Proprietary,North America,Americas
438,285,39,285,,"xSeries x3650 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet",Internet Service,IBM,China,2012,Industry,14556,0,82023,147307,55.68,0,0,441.53,185.77,Cluster,Xeon E5649 6C 2.530GHz,Intel Nehalem,2530,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),xSeries x3650 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
439,,40,439,Blues,"Appro Xtreme-X Supercomputer, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",DOE/SC/Argonne National Laboratory,Appro International,United States,2012,Research,5184,0,81820,107827,75.88,1138368,569184,129.6,631.33,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Appro Xtreme-X Supercomputer,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
440,289,35,153,,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",Defense,IBM,United States,2010,Industry,9648,0,81664,109215.36,74.77,0,0,380.23,214.78,Cluster,Xeon E54440 4C 2.830GHz,Intel Core,2830,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",BladeCenter HS21 Cluster,IBM BladeCenter,Infiniband,Infiniband,North America,Americas
